mes,aporte_total_casal,selic_aa_percent,taxa_mensal_efetiva,saldo_bruto,principal_acumulado,rendimento_bruto_acumulado,iof_estimado_no_resgate,ir_estimado_no_resgate,saldo_liquido_se_resgatar_no_mes
2026-02,50.0,15.0,0.01171491691985338,50.58574584599267,50.0,0.585745845992669,0.0585745845992669,0.11861353381351547,50.40855772757989
2026-03,382.1100000000001,15.0,0.01171491691985338,437.76474056015263,432.1100000000001,5.654740560152504,0.0,1.272316626034312,436.4924239341183
2026-04,542.4200000000001,15.0,0.01171491691985338,991.6675233619229,974.5300000000002,17.137523361922717,0.19063215707000494,3.8130505210918537,987.663840683761
2026-05,429.9200000000001,15.0,0.01171491691985338,1438.241303092408,1404.4500000000003,33.791303092407816,0.0,7.603043195791744,1430.638259896616
2026-06,454.9200000000001,15.0,0.01171491691985338,1915.339530474017,1859.3700000000003,55.969530474016665,0.15988050015539157,12.557171244118788,1902.6224787297429
2026-07,304.9200000000001,15.0,0.01171491691985338,2246.269686414033,2164.2900000000004,81.97968641403259,0.0,18.445429443157302,2227.8242569708755
2026-08,83.78999999999996,15.0,0.01171491691985338,2357.3561420586725,2248.0800000000004,109.27614205867212,0.0,23.78951963738893,2333.5666224212837
2026-09,149.86000000000013,15.0,0.01171491691985338,2536.5879708630055,2397.9400000000005,138.64797086300496,0.05266792348827721,29.268917384727626,2507.2663855547894
2026-10,116.84999999999991,15.0,0.01171491691985338,2684.5227762436502,2514.7900000000004,169.73277624364982,0.0,35.189055129824936,2649.333721113825
2026-11,50.0,15.0,0.01171491691985338,2766.5574833827914,2564.7900000000004,201.76748338279094,0.01757237537978007,41.12324696180759,2725.4166640456037
2026-12,50.0,15.0,0.01171491691985338,2849.5532203006123,2614.7900000000004,234.76322030061192,0.0,47.404897296021,2802.1483230045915
2027-01,224.55999999999995,15.0,0.01171491691985338,3110.126201278657,2839.3500000000004,270.7762012786566,0.0,54.471379281992505,3055.654821996664
2027-02,989.56,15.0,0.01171491691985338,4147.713684524105,3828.9100000000003,318.8036845241045,1.1592613187210077,62.83517183350826,4083.7192513718755
2027-03,989.56,15.0,0.01171491691985338,5197.456418932853,4818.47,378.98641893285276,0.0,73.18725256561888,5124.269166367235
2027-04,989.56,15.0,0.01171491691985338,6259.49680226242,5808.030000000001,451.46680226241915,0.3477783956163023,86.64139016888775,6172.507633697917
2027-05,989.56,15.0,0.01171491691985338,7333.978900448223,6797.59,536.3889004482226,0.0,102.60258000367725,7231.376320444546
2027-06,989.56,15.0,0.01171491691985338,8421.048467146142,7787.15,633.8984671461421,0.3477783956163023,121.79830868881415,8298.90238006171
2027-07,989.56,15.0,0.01171491691985338,9520.852963504027,8776.71,744.1429635040276,0.0,144.24773124236498,9376.605232261663
2027-08,989.56,15.0,0.01171491691985338,10633.541578164828,9766.269999999999,867.2715781648294,0.0,165.73608415602575,10467.8054940088
2027-09,989.56,15.0,0.01171491691985338,11759.265247504043,10755.829999999998,1003.435247504045,0.3477783956163023,191.60794030673102,11567.309528801698
2027-10,989.56,15.0,0.01171491691985338,12898.176676104284,11745.389999999998,1152.786676104286,0.0,220.47528801109894,12677.701388093183
2027-11,989.56,15.0,0.01171491691985338,14050.430357469644,12734.949999999997,1315.480357469647,0.3477783956163023,251.8272763149074,13798.25530275912
2027-12,989.56,15.0,0.01171491691985338,15216.1825949828,13724.509999999997,1491.6725949828033,0.0,285.35324652016425,14930.829348462634
