priority,goal,target_value,hit_month,hit_net_value,description
1,Meio de locomoção (Moto elétrica),12000.0,2027-10,12677.701388093183,Meta para compra de moto elétrica (aprox. 12k).
2,Entrada da casa (Financiamento),50000.0,,,Acumular valor para entrada de financiamento imobiliário (estimado 300k).
